,household_key,paid_meat,paid_food,number_of_active_weeks,avg_spending_per_week,paid_veggies,avg_spending_meat_per_week,ratio_spent_for_meat,avg_spending_veggies_per_week,ratio_spent_for_veggies
0,1,380.9500000000004,2812.209999999997,67,41.97328358208951,292.8100000000003,5.685820895522394,0.135462856614549,4.3702985074626906,0.10412095824991753
1,2,225.75,1082.7400000000014,31,34.92709677419359,58.14000000000001,7.282258064516129,0.20849880857823644,1.8754838709677422,0.05369710179729199
2,3,567.9,1711.7799999999984,36,47.5494444444444,41.01000000000001,15.774999999999999,0.33175992241993746,1.139166666666667,0.023957517905338337
3,4,177.87,679.4800000000001,25,27.179200000000005,9.7,7.1148,0.26177370930711713,0.38799999999999996,0.01427562253487961
4,5,126.35000000000001,429.3900000000001,24,17.891250000000003,10.489999999999998,5.264583333333333,0.2942546403036866,0.43708333333333327,0.024430005356435868
5,6,1141.5600000000004,3794.6499999999746,84,45.17440476190446,371.7200000000003,13.590000000000005,0.3008340690182251,4.4252380952380985,0.09795896854782463
6,7,560.4800000000002,2034.3799999999992,48,42.38291666666665,100.66000000000004,11.676666666666671,0.27550408478258753,2.0970833333333343,0.04947944828399811
7,8,726.7700000000003,3122.2699999999963,69,45.25028985507241,257.2,10.532898550724642,0.23276974765154876,3.727536231884058,0.08237596364183761
8,9,63.989999999999995,455.54000000000013,17,26.7964705882353,27.37,3.764117647058823,0.14047065021732444,1.61,0.0600825394037845
9,10,68.28,146.32000000000002,5,29.264000000000003,8.35,13.656,0.4666484417714598,1.67,0.05706670311645707
10,11,6.66,18.939999999999998,5,3.7879999999999994,2.0,1.332,0.3516367476240761,0.4,0.10559662090813096
11,12,36.95,213.27999999999994,7,30.46857142857142,23.290000000000006,5.278571428571429,0.17324643660915237,3.327142857142858,0.10919917479369848
12,13,422.0199999999998,3821.3999999999924,81,47.177777777777685,234.8000000000001,5.210123456790122,0.11043596587638056,2.8987654320987666,0.06144345004448646
13,14,504.3199999999998,1480.1199999999988,59,25.086779661016926,70.82000000000001,8.547796610169488,0.340729130070535,1.2003389830508475,0.0478474718266087
14,15,61.930000000000014,656.8800000000001,27,24.328888888888894,117.84,2.293703703703704,0.09427901595420776,4.364444444444445,0.17939349652904638
15,16,219.79999999999993,1060.7400000000014,55,19.28618181818184,49.88,3.9963636363636352,0.20721383185323422,0.906909090909091,0.047023775854592026
